Date,Price
2013/6/25,95
2013/6/26,95
2013/6/27,97
2013/6/28,96
2013/7/1,98
2013/7/2,100
2013/7/3,102
,
2013/7/5,103
2013/7/8,103
2013/7/9,103
2013/7/10,106
2013/7/11,105
2013/7/12,106
2013/7/15,106
2013/7/16,106
2013/7/17,106
2013/7/18,108
2013/7/19,108
2013/7/22,107
2013/7/23,107
2013/7/24,105
2013/7/25,105
2013/7/26,105
2013/7/29,105
2013/7/30,103
2013/7/31,105
2013/8/1,108
2013/8/2,107
2013/8/5,107
2013/8/6,105
2013/8/7,104
2013/8/8,103
2013/8/9,106
2013/8/12,106
2013/8/13,107
2013/8/14,107
2013/8/15,107
2013/8/16,108
2013/8/19,107
2013/8/20,105
2013/8/21,104
2013/8/22,105
2013/8/23,106
2013/8/26,106
2013/8/27,109
2013/8/28,110
2013/8/29,109
2013/8/30,108
,
2013/9/3,109
2013/9/4,107
2013/9/5,109
2013/9/6,111
2013/9/9,110
2013/9/10,107
2013/9/11,108
2013/9/12,109
2013/9/13,108
2013/9/16,107
2013/9/17,105
2013/9/18,108
2013/9/19,106
2013/9/20,105
2013/9/23,104
2013/9/24,103
2013/9/25,103
2013/9/26,103
2013/9/27,103
2013/9/30,102
2013/10/1,102
2013/10/2,104
2013/10/3,103
2013/10/4,104
2013/10/7,103
2013/10/8,104
2013/10/9,102
2013/10/10,103
2013/10/11,102
2013/10/14,102
2013/10/15,101
2013/10/16,102
2013/10/17,101
2013/10/18,101
2013/10/21,99
2013/10/22,98
2013/10/23,97
2013/10/24,97
2013/10/25,97
2013/10/28,99
2013/10/29,98
2013/10/30,97
2013/10/31,96
2013/11/1,95
2013/11/4,95
2013/11/5,93
2013/11/6,95
2013/11/7,94
2013/11/8,95
2013/11/11,95
2013/11/12,93
2013/11/13,94
2013/11/14,94
2013/11/15,94
2013/11/18,93
2013/11/19,93
2013/11/20,93
2013/11/21,95
2013/11/22,95
2013/11/25,94
2013/11/26,93
2013/11/27,92
,
2013/11/29,93
2013/12/2,94
2013/12/3,96
2013/12/4,97
2013/12/5,97
2013/12/6,97
2013/12/9,97
2013/12/10,98
2013/12/11,97
2013/12/12,97
2013/12/13,96
2013/12/16,97
2013/12/17,97
2013/12/18,98
2013/12/19,98
2013/12/20,99
2013/12/23,99
2013/12/24,99
,
2013/12/26,99
2013/12/27,100
2013/12/30,99
2013/12/31,98
,
2014/1/2,95
2014/1/3,94
2014/1/6,93
2014/1/7,93
2014/1/8,92
2014/1/9,91
2014/1/10,92
2014/1/13,91
2014/1/14,92
2014/1/15,94
2014/1/16,94
2014/1/17,94
,
2014/1/21,95
2014/1/22,96
2014/1/23,97
2014/1/24,97
2014/1/27,96
2014/1/28,97
2014/1/29,97
2014/1/30,98
2014/1/31,98
2014/2/3,96
2014/2/4,97
2014/2/5,97
2014/2/6,98
2014/2/7,100
2014/2/10,100
2014/2/11,100
2014/2/12,100
2014/2/13,100
2014/2/14,100
,
2014/2/18,103
2014/2/19,103
2014/2/20,103
2014/2/21,103
2014/2/24,103
2014/2/25,102
2014/2/26,103
2014/2/27,103
2014/2/28,103
2014/3/3,105
2014/3/4,104
2014/3/5,102
2014/3/6,102
2014/3/7,103
2014/3/10,101
2014/3/11,100
2014/3/12,98
2014/3/13,99
2014/3/14,99
2014/3/17,98
2014/3/18,100
2014/3/19,101
2014/3/20,100
2014/3/21,100
2014/3/24,100
2014/3/25,100
2014/3/26,101
2014/3/27,101
2014/3/28,102
2014/3/31,102
2014/4/1,100
2014/4/2,100
2014/4/3,100
2014/4/4,101
2014/4/7,100
2014/4/8,103
2014/4/9,104
2014/4/10,103
2014/4/11,104
2014/4/14,104
2014/4/15,104
2014/4/16,104
2014/4/17,104
,
2014/4/21,104
2014/4/22,102
2014/4/23,101
2014/4/24,102
2014/4/25,101
2014/4/28,101
2014/4/29,102
2014/4/30,100
2014/5/1,100
2014/5/2,100
2014/5/5,100
2014/5/6,100
2014/5/7,101
2014/5/8,101
2014/5/9,100
2014/5/12,101
2014/5/13,102
2014/5/14,103
2014/5/15,102
2014/5/16,102
2014/5/19,103
2014/5/20,103
2014/5/21,104
2014/5/22,104
2014/5/23,105
,
2014/5/27,105
2014/5/28,103
2014/5/29,104
2014/5/30,103
2014/6/2,103
2014/6/3,103
2014/6/4,103
2014/6/5,103
2014/6/6,103
2014/6/9,105
2014/6/10,105
2014/6/11,105
2014/6/12,107
2014/6/13,107
2014/6/16,108
2014/6/17,107
2014/6/18,107
2014/6/19,107
2014/6/20,108
2014/6/23,107
2014/6/24,107
2014/6/25,107
2014/6/26,106
2014/6/27,106
2014/6/30,106
